Methods,Model,MP-UCB1,MP-TS
MLP/Reuters 1,0.79,0.79,0.79
MLP/Reuters 2,0.79,0.78,0.79
MLP/Reuters 3,0.79,0.76,0.75
MLP/Reuters 4,0.79,0.74,0.74
MLP/Reuters 5,0.79,0.7,0.79
MLP/Reuters 6,0.79,0.76,0.75
MLP/Reuters 7,0.79,0.74,0.75
MLP/Reuters 8,0.79,0.74,0.74
MLP/Reuters 9,0.79,0.8,0.79
ConvNets/SVHN 2,0.96,0.97,0.96
ConvNets/SVHN 3,0.96,0.95,0.96
ConvNets/SVHN 4,0.96,0.93,0.93
ConvNets/SVHN 5,0.96,0.96,0.96
ConvNets/SVHN 6,0.96,0.94,0.93
ConvNets/SVHN 7,0.96,0.91,0.9
ConvNets/SVHN 8,0.96,0.96,0.96
ConvNets/SVHN 9,0.96,0.95,0.96
ConvNets/SVHN 10,0.96,0.9,0.89
ConvNets/SVHN 11,0.96,0.96,0.96
ConvNets/SVHN 12,0.96,0.96,0.96
ConvNets/SVHN 13,0.96,0.95,0.94
ConvNets/SVHN 14,0.96,0.97,0.97
ConvNets/SVHN 15,0.96,0.96,0.95
ConvNets/SVHN 16,0.96,0.93,0.92
ConvNets/SVHN 17,0.96,0.96,0.96
ConvNets/SVHN 18,0.96,0.96,0.96
ConvNets/SVHN 19,0.96,0.98,0.97
LeCun/MNIST 2,0.98,0.98,0.98
LeCun/MNIST 3,0.98,0.95,0.96
LeCun/MNIST 4,0.98,0.93,0.92
LeCun/MNIST 5,0.98,0.98,0.98
LeCun/MNIST 6,0.98,0.94,0.94
LeCun/MNIST 7,0.98,0.94,0.93
LeCun/MNIST 8,0.98,0.99,0.99
LeCun/MNIST 9,0.98,0.96,0.95
LeCun/MNIST 10,0.98,0.93,0.93
LeCun/MNIST 11,0.98,0.98,0.98
LeCun/MNIST 12,0.98,0.98,0.98
LeCun/MNIST 13,0.98,0.99,0.99